Q,cumulative_landfalling_area
10.225138021893397,4314.156142681752
10.225138021893397,26260.31979057486
10.225138021893397,48206.48343846796
10.225138021893397,70152.64708636107
10.225138021893397,92098.81073425418
10.225138021893397,114044.97438214728
10.225138021893397,135991.1380300404
10.225138021893397,157937.3016779335
10.225138021893397,179883.4653258266
10.225138021893397,201829.62897371972
10.225138021893397,223775.7926216128
10.225138021893397,245721.95626950593
10.225138021893397,267668.1199173991
10.225138021893397,289614.2835652922
10.225138021893397,311560.44721318525
10.225138021893397,333506.61086107837
10.225138021893397,355452.7745089715
10.225138021893397,377398.9381568646
10.225138021893397,399345.1018047577
10.225138021893397,421291.2654526508
10.225138021893397,443237.4291005439
10.225138021893397,465183.592748437
10.225138021893397,487129.75639633014
10.225138021893397,509075.92004422325
10.225138021893397,531022.0836921163
10.225138021893397,552968.2473400094
10.870928122288271,574914.4109879025
10.870928122288271,596860.5746357956
10.870928122288271,618806.7382836887
10.870928122288271,640752.9019315818
10.870928122288271,662699.0655794749
10.870928122288271,684645.229227368
10.870928122288271,706591.3928752611
10.870928122288271,728537.5565231543
10.870928122288271,750483.7201710474
10.870928122288271,772429.8838189405
10.870928122288271,794376.0474668336
10.870928122288271,816322.2111147267
10.870928122288271,838268.3747626197
10.870928122288271,860214.5384105128
10.870928122288271,882160.702058406
10.870928122288271,904106.8657062991
10.870928122288271,926053.0293541922
10.870928122288271,947999.1930020853
10.870928122288271,969945.3566499784
10.870928122288271,991891.5202978716
10.870928122288271,1013837.6839457647
10.870928122288271,1035783.8475936578
10.870928122288271,1057730.011241551
10.870928122288271,1079676.1748894441
