Q,max_landfalling_v850hPa
5.901492411970924,22.67406120300293
6.248243122782105,22.980712065404774
6.248243122782105,23.28736292780662
6.485705569540006,23.594013790208464
6.485705569540006,23.90066465261031
6.485705569540006,24.207315515012155
6.485705569540006,24.513966377414
6.485705569540006,24.820617239815846
6.485705569540006,25.127268102217695
6.485705569540006,25.43391896461954
6.485705569540006,25.740569827021385
6.485705569540006,26.04722068942323
7.1551572703296005,26.353871551825076
7.1551572703296005,26.66052241422692
5.758786729549616,26.967173276628767
5.758786729549616,27.273824139030612
5.758786729549616,27.580475001432458
5.758786729549616,27.887125863834303
5.974954828665887,28.193776726236152
6.185808204281387,28.500427588637997
6.347696012215694,28.807078451039843
9.412381402296736,29.113729313441688
9.432046060155091,29.420380175843533
827.3053671339666,29.72703103824538
827.239489709915,30.033681900647224
827.4870660137968,30.34033276304907
1805.4362014855321,30.646983625450915
1214.6509677641402,30.95363448785276
1214.6455176624163,31.260285350254605
1214.6455176624163,31.56693621265645
1214.6455176624163,31.873587075058296
2380.9484056239953,32.18023793746014
2383.995101627158,32.48688879986199
2432.332603031488,32.79353966226383
6930.863211031491,33.10019052466568
429749.06840364065,33.40684138706752
429746.3290483325,33.71349224946937
224417.2109565987,34.02014311187122
9031.45577470821,34.32679397427306
233.11489361336473,34.63344483667491
7.771584808518945,34.94009569907675
4.435225291906016,35.2467465614786
1.9784372096152651,35.55339742388045
1.9784372096152651,35.86004828628229
1.9784372096152651,36.16669914868414
1.9784372096152651,36.473350011085984
1.9784372096152651,36.78000087348783
1.9784372096152651,37.086651735889674
3.3356765952498364,37.39330259829152
3.717900696753937,37.699953460693365
